0,0.00,0.00
0,-0.01,0.50
0,-0.04,0.40
0,-0.01,0.45
0,0.06,0.46
0,0.15,0.24
0,0.18,0.17
0,0.15,0.34
0,0.48,-0.42
0,1.34,-4.15
0,2.33,-7.71
0,3.44,-10.67
0,5.15,-13.68
0,6.21,-16.22
0,7.01,-18.10
0,7.78,-20.59
0,8.65,-22.73
0,9.67,-24.88
0,10.55,-26.46
0,11.45,-28.20
0,12.39,-29.58
0,13.72,-31.63
0,14.87,-32.99
0,15.69,-34.00
0,16.54,-35.05
0,17.40,-35.63
0,17.74,-35.70
0,17.63,-35.54
0,17.39,-35.06
0,17.14,-34.67
0,16.66,-33.87
0,16.15,-33.19
0,15.91,-32.90
0,15.88,-33.00
0,15.87,-32.93
0,15.58,-32.65
0,15.40,-32.60
0,15.51,-32.57
0,15.48,-32.42
0,15.41,-32.34
0,15.39,-32.20
0,15.08,-31.64
0,13.74,-29.62
0,11.90,-26.79
0,9.47,-22.96
0,7.03,-18.60
0,4.61,-13.46
0,2.73,-7.59
0,1.34,-0.75
0,0.01,7.06
0,-0.57,12.61
0,-0.30,19.37
0,0.85,26.94
0,1.79,33.02
0,3.24,36.83
0,5.09,38.99
0,7.09,41.10
0,8.70,42.87
0,9.35,44.27
0,9.81,44.71
0,10.53,45.13
0,10.88,45.35
0,10.63,44.87
0,10.25,44.56
0,9.98,44.16
0,9.16,43.23
0,8.24,41.88
0,7.77,41.27
0,7.70,41.38
0,7.81,41.50
0,7.78,41.53
0,7.65,41.50
0,7.28,41.25
0,6.87,40.93
0,6.81,40.60
0,6.67,40.39
0,6.49,40.29
0,6.78,40.64
0,7.48,42.03
0,9.63,45.55
0,13.52,50.89
0,19.64,56.47
0,26.61,61.70
0,33.68,66.14
1,39.52,69.72
1,43.62,72.35
1,45.92,74.36
1,46.77,75.51
1,47.35,76.50
1,48.48,77.42
1,49.51,77.84
1,49.24,77.62
1,48.93,77.33
1,48.72,77.36
1,48.78,77.35
1,48.81,77.50
1,49.11,77.74
1,50.05,78.46
1,51.32,79.15
1,52.19,79.70
1,52.88,79.95
1,52.95,79.93
1,52.84,79.82
1,52.12,79.36
1,50.26,78.38
1,48.86,77.52
1,47.87,77.15
1,46.42,76.41
1,45.79,75.99
1,45.91,76.28
1,46.78,77.15
1,47.76,78.28
1,49.38,79.11
1,50.75,80.02
1,51.76,80.63
1,52.00,80.73
1,51.69,80.33
1,51.53,79.90
1,51.26,79.83
1,50.53,79.27
1,49.61,78.54
1,49.12,78.23
1,48.95,78.20
1,48.99,78.14
1,49.03,78.28
1,48.79,77.72
1,49.02,77.71
1,49.29,77.94
1,50.26,78.25
1,51.89,79.17
1,52.71,79.51
1,52.11,79.10
1,51.72,78.84
1,51.46,78.72
1,50.33,78.02
1,49.39,77.41
1,49.36,77.44
1,49.29,77.43
1,48.96,77.25
1,49.33,77.38
1,49.52,77.47
1,49.41,77.52
1,50.53,77.75
1,51.11,78.21
1,51.72,78.47
1,52.10,78.65
1,52.11,78.73
1,51.91,78.55
1,51.18,78.17
1,50.04,77.59
1,48.49,77.18
1,48.10,76.87
1,48.61,76.85
1,49.23,76.97
1,50.25,77.56
1,51.90,78.33
1,52.96,78.94
1,53.58,79.23
1,54.16,79.46
1,54.25,79.54
1,54.12,79.46
1,53.79,79.28
1,53.29,78.81
1,52.88,78.52
1,52.30,78.22
1,51.82,77.79
1,51.33,77.57
1,51.16,77.43
1,51.93,77.88
1,53.32,78.48
1,53.89,78.68
1,54.07,78.78
1,54.13,78.79
1,53.97,78.76
1,53.81,78.59
1,53.58,78.48
1,53.49,78.54
1,52.94,78.34
1,52.11,77.90
1,51.30,77.39
1,50.56,77.08
1,49.59,76.66
1,48.60,76.02
1,47.29,75.48
1,46.49,74.83
1,44.94,74.05
1,41.32,71.92
1,35.31,68.46
0,28.43,64.34
0,20.66,59.50
0,13.08,52.53
0,7.64,44.57
0,3.81,35.83
0,1.05,24.52
0,0.38,14.77
0,0.62,6.50
0,2.13,-2.55
0,4.30,-9.29
0,6.27,-13.44
0,8.27,-15.73
0,9.51,-14.96
0,10.61,-14.87
0,11.03,-13.07
0,10.45,-12.22
0,9.92,-13.78
0,10.33,-15.52
0,10.32,-17.30
0,10.14,-18.09
0,10.13,-18.54
0,9.02,-17.53
0,6.79,-13.00
0,5.38,-5.64
0,4.60,2.13
0,4.02,10.10
0,4.09,16.55
0,4.95,22.30
0,5.96,26.46
0,6.67,28.58
